name,vartype,uom,specified,group,range,description
VFboilup,Mole_Composition,mole fraction,True,Sump Section,"[0.0, 1.0]","Column reboiler molar return unbounded vapor fraction. The VFboilup=1 applies to Kettle reboilers, typical values for thermosyphon reboilers are 0<VFboilup<0.4"
Fboilup,Mole_Flow,kmol/s,False,Reboiler Section,"[0.0, 1000000.0]",Column boilup molar rate representing the combined vapor and liquid phases of the reboiler return.\nWhen Sump=None the reboiler represents a Kettle reboiler and Fboilup is 100% vapor phase.\nFor Sump=Single Fboilup represents a two-phase mixture depending on the value assigned to VFboilup.
Fmboilup,Mass_Flow,kg/s,False,Reboiler Section,"[0.0, 0.0]",Column boilup mass rate representing the combined vapor and liquid phases of the reboiler return.\nWhen Sump=None the reboiler represents a Kettle reboiler and Fboilup is 100% vapor phase.\nFor Sump=Single Fboilup represents a two-phase mixture depending on the value assigned to VFboilup.
DutyReb,Heat_Duty,kJ/s,False,Reboiler Section,"[-1000000000.0, 1000000000.0]",Column reboiler duty
Hboilup,Mole_Enthalpy,kJ/kmol,False,Reboiler Section,"[-1000000000.0, 1000000000.0]",Column boilup molar enthalpy
zboilup[Methanol],Mole_Composition,mole fraction,False,Reboiler Section,"[0.0, 1.0]",Column boilup molar composition
zboilup[Water],Mole_Composition,mole fraction,False,Reboiler Section,"[0.0, 1.0]",Column boilup molar composition
Treb,Temperature,K,False,Reboiler Section,"[100.0, 2000.0]",Column reboiler temperature 
LevelReb,Fraction,fraction,True,Dynamics and Controls,"[0.0, 1.0]",Column internal reboiler level fraction
VFreb,Mole_Composition,mole fraction,False,Reboiler Section,"[0.0, 1.0]",Column reboiler vapor fraction
DPreb,Diff_Pressure,kPa,True,Pressures,"[-50000.0, 50000.0]",Column reboiler pressure drop representing the pressure drop in the reboiler return line
